iter	Passed	Remaining
0	0	1224
1	0	1045
2	0	873
3	1	770
4	1	686
5	1	638
6	1	606
7	1	616
8	1	605
9	1	594
10	2	581
11	2	597
12	2	579
13	2	558
14	2	541
15	2	534
16	2	522
17	3	506
18	3	545
19	3	554
20	4	569
21	4	582
22	4	583
23	4	591
24	4	585
25	4	571
26	5	560
27	5	557
28	5	555
29	5	547
30	5	545
31	5	553
32	6	553
33	6	561
34	6	555
35	6	560
36	7	587
37	7	585
38	7	583
39	7	578
40	7	573
41	8	568
42	8	561
43	8	566
44	8	565
45	8	563
46	9	566
47	9	560
48	9	558
49	9	555
50	9	553
51	9	549
52	9	548
53	10	552
54	10	545
55	10	542
56	10	536
57	10	534
58	10	538
59	10	538
60	11	535
61	11	534
62	11	532
63	11	527
64	11	534
65	12	535
66	12	535
67	12	540
68	12	541
69	12	540
70	13	538
71	13	538
72	13	534
73	13	536
74	13	532
75	13	527
76	14	531
77	14	532
78	14	528
79	14	527
80	14	528
81	14	527
82	14	524
83	15	525
84	15	526
85	15	526
86	15	527
87	15	526
88	16	525
89	16	523
90	16	522
91	16	523
92	16	525
93	16	524
94	17	521
95	17	521
96	17	521
97	17	521
98	17	520
99	17	519
100	18	518
101	18	517
102	18	516
103	18	517
104	18	519
105	19	518
106	19	518
107	19	518
108	19	518
109	19	516
110	19	516
111	20	516
112	20	516
113	20	514
114	20	515
115	20	516
116	20	516
117	21	515
118	21	515
119	21	515
120	21	514
121	21	514
122	21	514
123	22	513
124	22	513
125	22	512
126	22	513
127	22	513
128	23	511
129	23	512
130	23	511
131	23	511
132	23	511
133	23	510
134	24	511
135	24	511
136	24	512
137	24	513
138	24	512
139	25	512
140	25	511
141	25	512
142	25	510
143	25	509
144	25	510
145	26	509
146	26	510
147	26	511
148	26	510
149	26	511
150	27	510
151	27	510
152	27	509
153	27	509
154	27	508
155	27	508
156	27	506
157	28	506
158	28	507
159	28	507
160	28	505
161	28	505
162	29	506
163	29	507
164	29	506
165	29	506
166	29	506
167	30	506
168	30	506
169	30	505
170	30	505
171	30	506
172	30	506
173	31	506
174	31	506
175	31	505
176	31	504
177	31	505
178	32	505
179	32	505
180	32	505
181	32	505
182	32	506
183	33	505
184	33	504
185	33	505
186	33	505
187	33	505
188	33	505
189	34	505
190	34	505
191	34	504
192	34	504
193	34	504
194	35	504
195	35	504
196	35	504
197	35	504
198	35	504
199	36	504
200	36	504
201	36	504
202	36	503
203	36	504
204	36	504
205	37	504
206	37	505
