year,unit,crime,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage
2002,Dolnośląskie,41.33,,145.6,2165.84,196377923.0,345259618.0,2572.0,26.9
2002,Kujawsko-Pomorskie,38.05,,115.1,1953.39,111821148.0,187401964.0,-2088.0,30.3
2002,Lubelskie,29.9,,87.5,1941.01,129845709.0,245911356.0,-8789.0,28.4
2002,Lubuskie,42.82,,72.1,1936.54,76681402.0,128709824.0,-1144.0,28.8
2002,Mazowieckie,37.88,,144.1,2893.83,280191981.0,414472170.0,12117.0,34.6
2002,Małopolskie,32.85,,214.3,2060.99,175373669.0,328728186.0,14378.0,34.3
2002,Opolskie,36.72,,112.7,2029.99,90842960.0,149780193.0,450.0,28.7
2002,Podkarpackie,23.7,,117.4,1875.41,145813596.0,263692650.0,-10866.0,24.4
2002,Podlaskie,28.15,,59.8,1958.0,69532021.0,106294539.0,-3115.0,26.4
2002,Pomorskie,52.12,,119.4,2175.63,129896428.0,219166116.0,5991.0,32.4
2002,Warmińsko-Mazurskie,41.02,,59.0,1947.99,118026799.0,214768355.0,-5127.0,32.5
2002,Wielkopolskie,35.17,,112.5,2047.58,201875702.0,406635568.0,4914.0,25.5
2002,Zachodniopomorskie,42.74,,74.1,2068.44,125837806.0,189762243.0,2926.0,32.6
2002,Łódzkie,33.89,,143.1,1966.22,177773037.0,264280612.0,-3941.0,27.9
2002,Śląskie,38.52,,383.7,2298.44,146538376.0,269696251.0,1879.0,26.2
2002,Świętokrzyskie,30.11,,110.8,1977.75,101354433.0,171187834.0,-10157.0,27.7
2003,Dolnośląskie,44.08,,145.3,2233.58,60606566.0,394008451.0,2453.0,29.9
2003,Kujawsko-Pomorskie,40.12,,115.1,2000.96,35029151.0,202224714.0,-2642.0,31.0
2003,Lubelskie,29.48,,87.2,1995.5,33152919.0,259962683.0,-8493.0,29.9
2003,Lubuskie,42.98,,72.1,1990.13,24997796.0,132537209.0,-427.0,27.2
2003,Mazowieckie,40.07,,144.3,3005.37,74550019.0,439630613.0,11374.0,33.9
2003,Małopolskie,39.81,,214.2,2109.69,45521310.0,350213570.0,14913.0,34.8
2003,Opolskie,35.91,,112.2,2087.3,28827711.0,158194628.0,645.0,27.4
2003,Podkarpackie,24.0,,117.5,1950.01,46087357.0,289976665.0,-10305.0,24.5
2003,Podlaskie,30.54,,59.7,2035.43,23061487.0,114888537.0,-2865.0,29.3
2003,Pomorskie,51.48,,119.7,2257.16,37807548.0,235654298.0,5938.0,32.8
2003,Warmińsko-Mazurskie,39.19,,59.0,2003.28,34522030.0,229322351.0,-4979.0,32.7
2003,Wielkopolskie,36.39,,112.7,2129.03,56467560.0,438416661.0,4759.0,27.5
2003,Zachodniopomorskie,40.37,,74.1,2134.74,39369598.0,196106607.0,2305.0,33.5
2003,Łódzkie,35.88,,142.5,2024.32,51015515.0,280956413.0,-4048.0,26.7
