"Kod";"Nazwa";"ludność na 1 km2;2002;[osoba]";"ludność na 1 km2;2003;[osoba]";"ludność na 1 km2;2004;[osoba]";"ludność na 1 km2;2005;[osoba]";"ludność na 1 km2;2006;[osoba]";"ludność na 1 km2;2007;[osoba]";"ludność na 1 km2;2008;[osoba]";"ludność na 1 km2;2009;[osoba]";"ludność na 1 km2;2010;[osoba]";"ludność na 1 km2;2011;[osoba]";"ludność na 1 km2;2012;[osoba]";"ludność na 1 km2;2013;[osoba]";"ludność na 1 km2;2014;[osoba]";"ludność na 1 km2;2015;[osoba]";"ludność na 1 km2;2016;[osoba]";"ludność na 1 km2;2017;[osoba]";"ludność na 1 km2;2018;[osoba]";"ludność na 1 km2;2019;[osoba]";"ludność na 1 km2;2020;[osoba]";"ludność na 1 km2;2021;[osoba]";"ludność na 1 km2;2022;[osoba]";"ludność na 1 km2;2023;[osoba]";"ludność na 1 km2;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";145,6;145,3;145,0;144,8;144,5;144,3;144,2;144,2;146,3;146,2;146,1;145,9;145,8;145,6;145,6;145,5;145,4;145,4;145,8;145,3;144,8;144,3;143,8;
0400000;"KUJAWSKO-POMORSKIE";115,1;115,1;115,1;115,1;115,0;115,0;115,1;115,1;116,8;116,8;116,7;116,4;116,3;116,1;116,0;115,9;115,6;115,3;113,0;112,3;111,7;111,1;110,4;
0600000;"LUBELSKIE";87,5;87,2;87,0;86,8;86,5;86,2;86,1;85,9;86,7;86,5;86,2;85,8;85,5;85,2;84,9;84,6;84,3;83,9;81,9;81,1;80,6;80,0;79,5;
0800000;"LUBUSKIE";72,1;72,1;72,1;72,1;72,1;72,1;72,1;72,2;73,2;73,1;73,2;73,0;72,9;72,8;72,7;72,7;72,5;72,3;71,0;70,5;70,1;69,7;69,3;
1000000;"ŁÓDZKIE";143,1;142,5;142,0;141,5;140,9;140,3;139,9;139,5;139,5;139,1;138,6;137,9;137,4;136,9;136,4;135,9;135,4;134,7;132,6;131,5;130,5;129,7;128,8;
1200000;"MAŁOPOLSKIE";214,3;214,2;214,6;215,0;215,5;216,0;216,5;217,2;219,8;220,4;220,9;221,3;221,9;222,1;222,8;223,4;224,0;224,7;226,1;225,9;225,8;225,9;225,8;
1400000;"MAZOWIECKIE";144,1;144,3;144,7;145,0;145,4;145,9;146,4;146,9;148,1;148,6;149,1;149,5;150,0;150,4;150,9;151,4;152,0;152,5;155,2;155,0;155,0;155,0;154,9;
1600000;"OPOLSKIE";112,7;112,2;111,7;111,3;110,7;110,2;109,8;109,6;108,1;107,7;107,3;106,7;106,3;105,8;105,5;105,2;104,8;104,4;101,6;100,8;100,1;99,5;98,8;
1800000;"PODKARPACKIE";117,4;117,5;117,6;117,6;117,5;117,5;117,6;117,8;119,2;119,3;119,4;119,3;119,3;119,2;119,2;119,3;119,3;119,2;117,5;116,9;116,5;116,1;115,6;
2000000;"PODLASKIE";59,8;59,7;59,6;59,4;59,3;59,1;59,0;58,9;59,6;59,5;59,4;59,2;59,0;58,9;58,8;58,7;58,5;58,4;57,3;56,9;56,6;56,4;56,1;
2200000;"POMORSKIE";119,4;119,7;119,9;120,2;120,3;120,7;121,2;121,8;124,3;124,7;125,1;125,4;125,7;126,0;126,5;126,9;127,4;127,9;128,7;128,7;128,6;120,7;120,7;
2400000;"ŚLĄSKIE";383,7;382,4;381,2;380,0;378,6;377,4;376,7;376,3;375,8;375,1;374,3;372,9;371,8;370,6;369,7;368,8;367,6;366,3;357,7;354,8;352,4;350,3;347,9;
2600000;"ŚWIĘTOKRZYSKIE";110,8;110,5;110,1;109,8;109,3;108,9;108,7;108,5;109,5;109,1;108,8;108,3;107,9;107,4;107,0;106,5;106,0;105,4;102,4;101,4;100,6;99,8;98,9;
2800000;"WARMIŃSKO-MAZURSKIE";59,0;59,0;59,1;59,1;59,0;59,0;59,0;59,0;60,1;60,1;60,0;59,9;59,7;59,6;59,4;59,3;59,1;58,9;57,3;56,9;56,5;56,2;55,8;
3000000;"WIELKOPOLSKIE";112,5;112,7;112,8;113,1;113,3;113,6;113,9;114,3;115,6;115,9;116,1;116,2;116,4;116,5;116,7;117,0;117,1;117,3;117,6;117,3;117,1;116,9;116,7;
3200000;"ZACHODNIOPOMORSKIE";74,1;74,1;74,0;74,0;73,9;73,9;74,0;74,0;75,3;75,3;75,2;75,1;74,9;74,7;74,6;74,5;74,3;74,1;72,5;72,0;71,6;71,2;70,8;
