"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";"ogółem;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";345259618;394008451;411617037;431630880;449635507,41;469569101,48;506743351,92;545681599,25;578426936,49;599985608,42;606749938,37;568076141,62;544464090,62;551210117,09;547636361,83;562148323,19;602045704,14;678050706,06;742886665,00;831900717,66;956111870,98;1150000219,75;1356576985,57;
0400000;"KUJAWSKO-POMORSKIE";187401964;202224714;221059368;236152270;254717476,88;272946413,81;298269518,97;325195148,97;336587302,40;367067345,74;372673644,61;381445322,02;388830674,22;382791621,52;372471835,61;379352332,60;405102493,91;452699753,44;519200614,54;543169296,31;601704384,01;692634426,33;869075830,34;
0600000;"LUBELSKIE";245911356;259962683;274860352;291540772;301425691,72;309727473,61;330400299,66;355622019,37;396130174,49;424369047,68;413015165,22;403520031,86;407748371,67;400509912,11;390728089,71;406275799,74;471150338,93;502387215,02;538590507,18;573422059,47;623286256,02;771189555,29;943355612,19;
0800000;"LUBUSKIE";128709824;132537209;146203759;157384214;159794255,39;163307951,35;173463909,20;196417640,43;214120769,49;216997398,42;198312843,68;202925094,57;217733325,97;198050373,51;192541305,33;231593411,03;220552867,34;235065730,49;267674469,55;284613511,94;304813828,73;370875587,28;447974594,97;
1000000;"ŁÓDZKIE";264280612;280956413;300639421;323600486;335599381,53;349793851,20;379773919,73;413781296,77;445389599,48;467711752,32;488928535,94;487159887,38;488703148,58;477541803,96;475845321,62;498606434,00;530349612,55;589018855,88;663163887,90;725060690,62;762140366,63;891190542,90;1156752651,89;
1200000;"MAŁOPOLSKIE";328728186;350213570;379177683;408555026;444822452,08;469762811,45;508174087,74;553961318,02;606248860,10;636836733,17;636420157,14;628157850,80;644269509,24;635192799,68;620788279,93;641261350,76;684116232,45;755493831,24;846150130,78;918239006,37;1035061645,90;1251117729,46;1534442809,85;
1400000;"MAZOWIECKIE";414472170;439630613;479828458;515559672;555842047,40;585262471,31;646209353,95;689311837,35;734281053,00;795367803,90;821112466,35;842574015,37;842387576,09;834707059,26;843028995,35;866788464,32;916837390,60;1020087991,74;1163257789,10;1275004020,13;1447160825,96;1709046677,54;2226515394,51;
1600000;"OPOLSKIE";149780193;158194628;166742638;178794494;181397498,18;188778699,69;210524603,77;245880230,15;248712748,98;259005163,29;257125515,82;257329927,53;250881429,45;247669271,40;249455334,42;263107894,20;263254954,53;285275569,55;312134673,96;347936182,76;371006158,43;456242169,66;587136992,42;
1800000;"PODKARPACKIE";263692650;289976665;310241651;329654026;344652200,72;357336084,46;394376928,67;436435936,93;492549641,91;492212802,42;509321444,84;552417862,33;520045430,88;490522913,47;481455240,73;546484214,49;554843300,45;593656525,26;661911193,77;734183577,16;807581492,46;947573144,25;1197186864,32;
2000000;"PODLASKIE";106294539;114888537;120746897;130703536;139066309,28;146837864,45;148336471,02;165582081,65;175817852,47;187818785,42;193550722,34;179775818,50;170717330,81;167495116,98;159413861,30;164734981,71;181086036,71;206087670,68;213495645,37;224278166,12;246294050,90;296499242,78;369445815,08;
2200000;"POMORSKIE";219166116;235654298;263197762;283959056;310427122,97;324568028,29;337217284,92;365345833,87;392679527,53;412889251,67;443693542,52;434956529,76;439027195,57;441524967,37;447678440,32;489369106,50;605481941,10;576925292,05;632563393,20;679908908,81;750544136,58;889386223,40;1129225873,03;
2400000;"ŚLĄSKIE";269696251;286812007;311897434;338309773;367675379,99;370307550,14;387463830,99;419532426,44;441997320,15;464387974,06;469974890,43;480045958,58;484592908,65;480244857,96;468539311,46;509649787,27;535663325,57;583433945,29;658648874,64;727844451,70;784976274,63;893965585,49;1201971783,35;
2600000;"ŚWIĘTOKRZYSKIE";171187834;178540350;189404025;206971272;221443155,79;229375638,26;249765416,06;270169770,90;301658835,31;308813212,03;317752138,25;316349878,51;309281422,29;316297171,56;318318434,01;326874804,30;367804653,11;390754965,79;424811492,71;452617037,66;483720934,29;570140081,50;765078229,27;
2800000;"WARMIŃSKO-MAZURSKIE";214768355;229322351;239052239;265719935;276091825,80;286511338,54;315651869,40;358274013,45;389770985,52;387931920,87;384916131,45;389872890,06;387641632,53;379486568,70;375604837,36;397134846,60;416037056,31;456891435,15;497564211,33;556076377,05;619791513,19;704486643,42;915025579,88;
3000000;"WIELKOPOLSKIE";406635568;438416661;480742507;535187277;550624656,37;569870379,94;617282167,59;663157792,59;711250385,42;748310579,35;740486353,50;731266484,84;739789504,14;743853403,82;748360465,64;787012227,76;897927890,87;949154281,09;1026979813,06;1130459045,35;1276096808,97;1547079705,73;1904349445,48;
3200000;"ZACHODNIOPOMORSKIE";189762243;196106607;209315160;225922304;241178004,56;249467528,54;266170288,78;295483501,16;314672469,30;338559424,34;334306198,25;329922590,92;324927275,21;329807250,20;325871818,15;339516401,62;370080266,65;412850338,91;460512164,18;517842064,35;566664133,41;656933287,01;823042430,42;
