"Kod";"Nazwa";"ogółem;2003;[-]";"ogółem;2004;[-]";"ogółem;2005;[-]";"ogółem;2006;[-]";"ogółem;2007;[-]";"ogółem;2008;[-]";"ogółem;2009;[-]";"ogółem;2010;[-]";"ogółem;2011;[-]";"ogółem;2012;[-]";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";"ogółem;2024;[-]";
0200000;"DOLNOŚLĄSKIE";101,0;103,4;102,2;101,2;102,8;104,8;104,0;102,9;104,6;103,7;100,9;100,0;99,2;99,3;101,9;101,2;102,1;103,1;104,6;113,4;110,7;103,3;
0400000;"KUJAWSKO-POMORSKIE";100,5;103,6;102,0;100,9;102,3;104,4;103,3;102,6;104,6;103,7;101,1;99,8;99,1;99,5;102,0;101,6;102,3;103,6;105,1;115,6;110,8;103,6;
0600000;"LUBELSKIE";100,5;103,4;102,0;100,8;102,3;104,1;103,3;101,8;104,0;103,8;100,7;100,0;98,8;99,1;102,2;101,4;102,3;102,8;104,8;115,0;110,7;102,8;
0800000;"LUBUSKIE";101,0;103,6;102,3;101,1;102,9;104,2;103,4;102,8;104,1;103,8;101,3;100,5;99,6;99,8;102,2;102,0;102,5;103,0;105,3;113,6;112,4;104,4;
1000000;"ŁÓDZKIE";100,7;103,5;102,0;101,2;102,8;104,1;103,5;102,8;104,4;103,8;100,8;99,5;98,8;99,4;102,1;101,5;102,6;103,6;105,5;116,1;110,7;103,0;
1200000;"MAŁOPOLSKIE";101,0;103,8;102,2;101,1;102,4;104,3;103,5;102,6;104,3;103,6;100,8;99,9;99,2;99,6;102,1;102,2;102,9;104,3;105,9;114,9;111,8;104,2;
1400000;"MAZOWIECKIE";101,1;103,1;102,1;101,1;102,2;103,9;103,4;102,4;103,7;103,5;100,8;100,0;99,1;99,5;101,9;101,6;102,2;103,3;104,9;113,5;111,9;103,8;
1600000;"OPOLSKIE";100,7;103,7;102,2;101,2;102,6;104,4;103,5;102,8;104,4;103,7;100,7;99,7;98,9;99,4;102,2;101,7;102,3;103,1;105,2;115,8;110,2;102,8;
1800000;"PODKARPACKIE";100,9;103,7;102,3;101,3;102,7;104,4;103,9;103,2;104,9;104,1;100,7;100,2;98,9;99,1;102,1;101,6;102,3;103,2;104,6;113,6;111,5;104,0;
2000000;"PODLASKIE";100,8;103,5;102,0;100,9;102,3;104,3;103,2;102,3;104,5;103,7;100,6;99,7;98,7;99,0;102,1;101,4;102,4;103,0;105,0;114,1;110,8;103,3;
2200000;"POMORSKIE";100,8;103,2;101,7;100,7;102,3;103,9;102,4;102,6;104,1;103,4;100,9;99,9;99,2;99,7;102,1;101,9;101,9;103,4;104,9;113,9;111,5;103,8;
2400000;"ŚLĄSKIE";100,7;103,2;101,7;100,8;102,2;103,9;103,9;102,4;103,7;103,3;100,8;99,9;98,8;99,2;101,9;101,3;101,9;103,6;105,0;113,6;111,3;104,0;
2600000;"ŚWIĘTOKRZYSKIE";100,2;103,5;102,4;101,1;102,7;104,5;103,8;102,6;104,7;104,0;100,8;99,7;98,3;99,4;102,2;101,9;102,5;103,5;105,5;115,7;110,5;102,9;
2800000;"WARMIŃSKO-MAZURSKIE";100,3;103,6;102,2;100,6;102,3;104,3;103,3;103,1;104,6;104,1;100,9;99,9;99,2;99,5;101,6;101,5;102,6;103,6;105,3;113,9;111,5;102,9;
3000000;"WIELKOPOLSKIE";100,9;103,6;102,1;100,7;102,4;104,7;103,6;102,8;104,7;104,0;101,1;100,2;98,9;99,4;102,3;101,8;102,6;103,5;105,3;115,2;111,6;104,0;
3200000;"ZACHODNIOPOMORSKIE";100,8;103,4;101,8;100,9;102,4;104,2;103,7;102,7;104,3;103,7;100,9;100,3;99,7;99,1;101,4;101,4;102,3;103,6;104,8;113,1;112,7;103,8;
