"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";"ogółem;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";196377923;60606566;67936193;72779553;75319802,50;88568588,73;106651417,16;118642215,59;113764711,49;114626394,44;109468587,74;102398494,39;105347554,37;103522780,54;106891981,62;120025589,60;122186776,63;133357696,67;163435460,34;158849628,63;195567272,07;217284496,82;251737392,07;
0400000;"KUJAWSKO-POMORSKIE";111821148;35029151;37256554;41001703;40401048,55;45639387,15;56414529,66;56428092,43;59475789,19;59171370,61;58705727,47;65105723,03;60605024,76;61831410,36;64743158,61;71854395,18;74740209,74;79142354,06;100813378,93;93612319,81;107056925,59;118281907,28;141742115,85;
0600000;"LUBELSKIE";129845709;33152919;37661725;41738143;46470701,35;45393079,35;53077711,58;59175034,11;70491757,48;62036587,24;72729998,68;69141135,13;63894802,74;64774255,55;65955593,07;70930068,29;81380867,68;98822690,87;111740254,36;98187842,86;196419771,86;195873957,79;200639476,02;
0800000;"LUBUSKIE";76681402;24997796;27306350;30200073;31000427,91;32846486,07;41699368,62;46646240,40;48453478,01;47337627,42;46302226,85;47099947,10;46543855,29;48146238,09;46691385,52;50118089,72;56420088,71;61542123,53;71301325,42;75179337,67;84125370,87;86900969,22;107812864,74;
1000000;"ŁÓDZKIE";177773037;51015515;57071582;59588248;62719848,08;71420429,10;86406300,48;87380014,22;94083426,48;87431582,93;87255499,05;92694917,19;94965275,21;97686998,38;96656019,97;102163920,04;109320674,02;116922942,22;131696310,15;135597293,59;152121459,94;168504849,20;202131259,06;
1200000;"MAŁOPOLSKIE";175373669;45521310;51426321;55477910;56765776,26;69573160,13;75438091,79;82979335,94;88125554,94;80890026,51;81230702,61;85203222,52;87523261,95;94319363,96;90244550,87;96311887,67;100993440,89;109030875,38;130750713,59;129915598,06;444233936,80;386648117,23;342078501,99;
1400000;"MAZOWIECKIE";280191981;74550019;84101455;90823367;97827705,80;114574927,69;136106235,89;131683562,48;140176249,60;137715376,37;133986744,54;140106038,70;145328734,01;140355583,19;145982770,37;164615945,51;172718745,29;182569258,55;209187063,44;208779440,56;330149024,60;328597635,60;359213426,01;
1600000;"OPOLSKIE";90842960;28827711;33807438;34964256;34292627,17;39973661,48;46748824,92;55208558,89;51728962,60;49567474,83;51374643,67;54632109,85;55340120,86;56758843,09;57385145,97;59701807,57;63601838,21;72017940,65;80580285,36;78556993,10;97671628,34;102665784,53;124741650,60;
1800000;"PODKARPACKIE";145813596;46087357;49451954;52134331;55483182,54;61542336,13;75105257,25;82228017,79;80938265,14;77789950,43;78723962,38;82162876,02;83754502,74;84084354,56;84903137,96;89913630,15;99406538,33;104911761,81;120518430,35;124396431,38;137919822,49;156610495,04;185553003,34;
2000000;"PODLASKIE";69532021;23061487;25536820;28972299;29313389,68;32346773,84;34490417,60;36678016,34;34339119,83;36305770,07;36924246,55;38406180,49;39731696,79;42697050,03;42067396,04;44057691,76;47183801,52;49496400,10;61706653,65;60118186,05;79859355,91;84715607,15;91022208,77;
2200000;"POMORSKIE";129896428;37807548;41694456;46262443;46403434,51;54366706,91;66705036,31;67622465,51;64197090,99;65057925,46;67026641,24;69737921,57;69960800,51;69376714,67;72048653,01;79342392,54;88423098,53;89260160,23;105929904,32;105155092,94;130465218,95;135074104,41;164032483,43;
2400000;"ŚLĄSKIE";146538376;39580311;42836758;46894531;49469570,05;57829370,89;73177690,73;76040200,46;80588722,13;73342367,49;76251387,95;76222007,12;75792210,46;76532861,23;78363895,43;83910244,49;89056804,81;96984057,09;115587064,63;119135452,61;227424582,51;209577262,63;223664862,40;
2600000;"ŚWIĘTOKRZYSKIE";101354433;32713002;37923737;39060482;37679371,26;46318795,96;50777896,34;49818151,58;58655589,74;55190235,29;55282938,17;61255634,70;57094172,98;56635330,48;60198016,89;62283739,92;65725357,48;71563188,80;87868637,90;87894028,62;101449053,82;112234787,11;128664469,62;
2800000;"WARMIŃSKO-MAZURSKIE";118026799;34522030;38812155;42398074;41461061,45;48644961,90;64164364,69;73659430,01;57700987,26;60298532,76;60002693,76;63966938,10;63206664,29;70678591,33;68371719,11;70266489,06;76133782,49;81761880,92;99207648,54;95404832,85;107521520,37;120263823,83;147134079,59;
3000000;"WIELKOPOLSKIE";201875702;56467560;63653845;70128146;74796779,93;84091983,87;102329229,19;110451849,50;108864425,17;112496573,87;116092008,65;119870326,53;121695762,33;128251471,86;126487808,05;133908284,69;144020901,00;157301989,05;181316581,52;180510691,00;209603532,00;232039366,13;264407919,65;
3200000;"ZACHODNIOPOMORSKIE";125837806;39369598;44707787;46757756;46387946,03;58196328,73;65133768,09;72305092,08;69597481,09;67178335,97;69093168,76;74529409,62;70287990,61;73604127,17;74045880,44;79985446,37;87330675,40;94904513,05;108677540,78;113503401,31;129924047,78;137110583,84;168983278,63;
