"Kod";"Nazwa";"stopień wykorzystania miejsc noclegowych;ogółem;2002;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2003;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2004;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2005;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2006;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2007;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2008;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2009;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2010;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2011;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2012;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2013;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2014;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2015;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2016;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2017;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2018;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2019;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2020;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2021;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2022;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2023;[%]";"stopień wykorzystania miejsc noclegowych;ogółem;2024;[%]";
0200000;"DOLNOŚLĄSKIE";26,90;29,90;34,06;37,12;37,97;38,65;35,42;31,68;31,51;32,1;31,8;33,1;32,8;35,1;39,0;39,8;42,9;44,6;28,3;32,5;41,8;42,8;42,5;
0400000;"KUJAWSKO-POMORSKIE";30,30;31,00;31,37;30,85;32,25;34,99;34,85;29,50;29,02;30,2;29,1;30,2;32,1;35,5;35,8;35,0;34,4;36,2;23,4;29,1;38,0;37,9;37,7;
0600000;"LUBELSKIE";28,40;29,90;27,92;29,53;30,70;30,83;32,00;33,85;32,06;33,2;31,1;31,5;30,3;31,8;31,7;34,2;33,2;34,5;22,4;27,2;38,2;36,5;35,8;
0800000;"LUBUSKIE";28,80;27,20;30,59;29,76;32,68;31,43;31,08;27,32;30,36;32,8;31,5;30,1;29,3;30,3;31,9;34,8;34,3;34,5;22,2;29,8;37,5;36,0;32,8;
1000000;"ŁÓDZKIE";27,90;26,70;30,50;33,39;36,85;37,02;37,19;34,54;31,05;31,2;30,7;28,3;30,6;33,3;34,1;35,2;35,0;36,2;19,5;23,8;38,2;36,3;36,2;
1200000;"MAŁOPOLSKIE";34,30;34,80;39,33;47,15;47,25;47,37;41,82;37,72;37,90;39,6;41,6;43,1;44,2;46,9;48,0;48,7;49,7;51,3;26,2;33,2;46,2;49,1;50,7;
1400000;"MAZOWIECKIE";34,60;33,90;37,87;41,50;44,54;46,78;45,75;40,30;43,50;44,6;43,7;45,3;45,6;48,3;49,8;51,0;49,5;48,3;21,3;28,2;49,5;48,2;49,4;
1600000;"OPOLSKIE";28,70;27,40;28,98;29,39;28,29;29,25;33,43;30,92;29,64;30,9;28,8;28,3;28,6;29,0;30,5;32,6;32,8;35,9;23,3;27,8;34,8;35,3;35,3;
1800000;"PODKARPACKIE";24,40;24,50;24,81;26,97;24,22;28,47;27,91;28,84;29,80;31,2;29,5;28,4;29,7;30,1;32,6;34,1;33,9;35,9;23,3;26,0;40,5;40,3;35,8;
2000000;"PODLASKIE";26,40;29,30;33,23;34,38;38,04;45,64;39,91;36,96;34,72;35,2;35,5;34,4;35,0;35,4;35,0;36,3;34,5;36,1;23,7;32,6;40,3;37,8;34,4;
2200000;"POMORSKIE";32,40;32,80;31,78;33,31;32,75;35,21;32,35;31,79;32,08;34,5;35,1;36,9;39,1;41,1;43,2;44,7;46,6;48,6;31,1;37,6;46,0;48,1;49,6;
2400000;"ŚLĄSKIE";26,20;27,90;30,77;33,68;35,84;38,78;35,13;31,47;29,86;30,1;29,3;30,9;31,5;33,5;36,4;38,1;41,3;40,9;23,2;29,7;41,3;41,8;40,3;
2600000;"ŚWIĘTOKRZYSKIE";27,70;26,70;29,25;27,92;29,46;31,64;29,16;27,86;28,34;29,6;29,3;27,7;26,9;27,2;29,1;31,0;33,5;34,7;22,6;29,7;35,7;36,1;36,0;
2800000;"WARMIŃSKO-MAZURSKIE";32,50;32,70;33,08;32,66;33,15;34,90;32,46;29,41;30,36;31,6;31,2;32,0;33,6;34,6;38,0;36,7;37,8;38,6;30,9;34,9;36,3;37,3;38,2;
3000000;"WIELKOPOLSKIE";25,50;27,50;28,06;28,67;29,29;30,08;31,52;27,44;27,51;27,7;26,6;26,5;28,7;31,0;33,0;33,6;34,6;35,1;22,0;27,8;36,2;35,5;36,9;
3200000;"ZACHODNIOPOMORSKIE";32,60;33,50;39,17;42,15;40,37;39,88;40,44;37,11;36,68;40,6;45,5;48,6;50,8;52,3;54,1;56,0;56,8;57,9;41,3;42,8;49,7;49,5;50,9;
