year,unit,crime,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,predicted_crime,used_features
2021,Dolnośląskie,28.19,4.9,145.3,6242.88,158849628.63,831900717.66,3131.0,32.5,104.6,34.77283201789916,"['unemployment', 'population_density', 'migration_balance', 'inflation']"
2022,Dolnośląskie,29.03,4.5,144.8,6945.01,195567272.07,956111870.98,3196.0,41.8,113.4,35.33370247143408,"['unemployment', 'population_density', 'migration_balance', 'inflation']"
2023,Dolnośląskie,27.51,4.4,144.3,7850.3,217284496.82,1150000219.75,3076.0,42.8,110.7,35.81702564395451,"['unemployment', 'population_density', 'migration_balance', 'inflation']"
2024,Dolnośląskie,26.53,4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,37.1603557274572,"['unemployment', 'population_density', 'migration_balance', 'inflation']"
2021,Kujawsko-Pomorskie,20.2,8.1,112.3,5286.83,93612319.81,543169296.31,-1054.0,29.1,105.1,28.208535903746498,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2022,Kujawsko-Pomorskie,22.53,7.3,111.7,5888.55,107056925.59,601704384.01,-947.0,38.0,115.6,26.570560260618446,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2023,Kujawsko-Pomorskie,21.63,7.1,111.1,6721.48,118281907.28,692634426.33,-995.0,37.9,110.8,26.570560260618446,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2024,Kujawsko-Pomorskie,19.01,7.3,110.4,7710.78,141742115.85,869075830.34,-930.0,37.7,103.6,25.09613042736574,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2021,Lubelskie,16.26,8.7,81.1,5318.68,98187842.86,573422059.47,-3730.0,27.2,104.8,20.697630193480702,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']"
2022,Lubelskie,15.79,8.0,80.6,5909.6,196419771.86,623286256.02,-3185.0,38.2,115.0,20.697630193480702,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']"
2023,Lubelskie,16.49,7.6,80.0,6774.52,195873957.79,771189555.29,-2889.0,36.5,110.7,20.697630193480702,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']"
2024,Lubelskie,15.56,7.4,79.5,7771.05,200639476.02,943355612.19,-2832.0,35.8,102.8,20.24171846611954,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']"
2021,Lubuskie,27.52,5.1,70.5,5286.5,75179337.67,284613511.94,-1160.0,29.8,105.3,35.51273111263915,"['public_safety_exp', 'tourism_usage']"
2022,Lubuskie,25.09,4.4,70.1,6014.38,84125370.87,304813828.73,-1335.0,37.5,113.6,35.62257248243662,"['public_safety_exp', 'tourism_usage']"
2023,Lubuskie,25.25,4.3,69.7,6882.46,86900969.22,370875587.28,-1421.0,36.0,112.4,35.62257248243662,"['public_safety_exp', 'tourism_usage']"
2024,Lubuskie,23.99,4.5,69.3,7887.19,107812864.74,447974594.97,-1059.0,32.8,104.4,35.62257248243662,"['public_safety_exp', 'tourism_usage']"
2021,Mazowieckie,21.94,4.7,155.0,7108.2,208779440.56,1275004020.13,9103.0,28.2,104.9,27.973928932482938,"['unemployment', 'tourism_usage', 'inflation']"
2022,Mazowieckie,23.3,4.3,155.0,7913.14,330149024.6,1447160825.96,8019.0,49.5,113.5,27.3886791176461,"['unemployment', 'tourism_usage', 'inflation']"
2023,Mazowieckie,22.13,4.0,155.0,8928.6,328597635.6,1709046677.54,8049.0,48.2,111.9,27.318816121688023,"['unemployment', 'tourism_usage', 'inflation']"
2024,Mazowieckie,21.68,4.0,154.9,10018.71,359213426.01,2226515394.51,7355.0,49.4,103.8,27.40781526733049,"['unemployment', 'tourism_usage', 'inflation']"
2021,Małopolskie,20.35,5.0,225.9,6046.95,129915598.06,918239006.37,3929.0,33.2,105.9,26.956034765492227,"['unemployment', 'tourism_usage']"
2022,Małopolskie,21.89,4.4,225.8,6824.68,444233936.8,1035061645.9,3336.0,46.2,114.9,23.277484415049052,"['unemployment', 'tourism_usage']"
2023,Małopolskie,20.88,4.2,225.9,7736.56,386648117.23,1251117729.46,3196.0,49.1,111.8,23.247646792495452,"['unemployment', 'tourism_usage']"
2024,Małopolskie,24.39,4.2,225.8,8818.71,342078501.99,1534442809.85,3230.0,50.7,104.2,23.247646792495452,"['unemployment', 'tourism_usage']"
2021,Opolskie,18.16,6.4,100.8,5492.82,78556993.1,347936182.76,-174.0,27.8,105.2,22.707844887826443,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2022,Opolskie,17.34,5.9,100.1,6134.18,97671628.34,371006158.43,-144.0,34.8,115.8,22.573164468921824,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2023,Opolskie,16.46,5.9,99.5,6975.81,102665784.53,456242169.66,-116.0,35.3,110.2,22.573164468921824,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2024,Opolskie,17.01,5.9,98.8,7958.35,124741650.6,587136992.42,-77.0,35.3,102.8,22.573164468921824,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
2021,Podkarpackie,13.91,9.9,116.9,5172.11,124396431.38,734183577.16,-1114.0,26.0,104.6,13.326663900027818,"['avg_salary', 'public_safety_exp', 'migration_balance']"
2022,Podkarpackie,12.93,8.8,116.5,5662.53,137919822.49,807581492.46,-736.0,40.5,113.6,13.326663900027818,"['avg_salary', 'public_safety_exp', 'migration_balance']"
2023,Podkarpackie,11.56,8.7,116.1,6436.15,156610495.04,947573144.25,-998.0,40.3,111.5,13.326663900027818,"['avg_salary', 'public_safety_exp', 'migration_balance']"
2024,Podkarpackie,11.75,8.7,115.6,7514.69,185553003.34,1197186864.32,-702.0,35.8,104.0,13.326663900027818,"['avg_salary', 'public_safety_exp', 'migration_balance']"
2021,Podlaskie,15.55,7.8,56.9,5412.89,60118186.05,224278166.12,-1112.0,32.6,105.0,20.79472897649159,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']"
2022,Podlaskie,19.44,7.0,56.6,6012.94,79859355.91,246294050.9,-1020.0,40.3,114.1,20.14298529019479,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']"
2023,Podlaskie,16.18,7.0,56.4,6805.04,84715607.15,296499242.78,-1016.0,37.8,110.8,20.150320000506937,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']"
2024,Podlaskie,14.69,6.9,56.1,7850.16,91022208.77,369445815.08,-867.0,34.4,103.3,20.270583769992072,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']"
2021,Pomorskie,21.74,5.2,128.7,5994.33,105155092.94,679908908.81,2086.0,37.6,104.9,25.239273049995816,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2022,Pomorskie,23.25,4.6,128.6,6696.84,130465218.95,750544136.58,2207.0,46.0,113.9,19.99835676608775,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2023,Pomorskie,22.67,4.6,120.7,7550.99,135074104.41,889386223.4,2483.0,48.1,111.5,19.99835676608775,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2024,Pomorskie,21.47,4.6,120.7,8620.28,164032483.43,1129225873.03,2788.0,49.6,103.8,19.99835676608775,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2021,Warmińsko-Mazurskie,18.41,9.1,56.9,5126.75,95404832.85,556076377.05,-2659.0,34.9,105.3,22.73962882476644,"['population_density', 'avg_salary', 'migration_balance']"
2022,Warmińsko-Mazurskie,19.85,8.6,56.5,5674.89,107521520.37,619791513.19,-2449.0,36.3,113.9,22.313341855910874,"['population_density', 'avg_salary', 'migration_balance']"
2023,Warmińsko-Mazurskie,18.64,8.3,56.2,6447.09,120263823.83,704486643.42,-2602.0,37.3,111.5,22.619047799953726,"['population_density', 'avg_salary', 'migration_balance']"
2024,Warmińsko-Mazurskie,20.74,8.3,55.8,7529.41,147134079.59,915025579.88,-2552.0,38.2,102.9,22.36547650313391,"['population_density', 'avg_salary', 'migration_balance']"
2021,Wielkopolskie,19.26,3.2,117.3,5379.43,180510691.0,1130459045.35,1217.0,27.8,105.3,24.204414564334407,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']"
