unit,R2,MAE,RMSE
Dolnośląskie,-10.028396541791253,2.946797980180645,3.0441560249359174
Kujawsko-Pomorskie,-4.58619885268045,2.880486182270361,3.179492018386217
Lubelskie,-25.7643718928347,1.8752511866095682,1.9059366136246463
Lubuskie,-1.648121795653926,1.7063584994228211,2.0880098109344485
Mazowieckie,-34.36933600848618,3.641588572584805,3.686882016434945
Małopolskie,-1.1921085634265118,1.579112648332992,2.2986019157379807
Opolskie,-2.647488877484592,1.0272570952107003,1.1764037021933014
Podkarpackie,-6.7731891646689135,2.4039310627513206,2.6499162589033824
Podlaskie,-0.4327895229730059,1.5284270237824296,2.151232832584281
Pomorskie,-21.515330283073194,3.2939519782848103,3.3891913351642784
Warmińsko-Mazurskie,-1.7996910899050382,1.254965825860694,1.577499738593351
Wielkopolskie,-45.77562803793484,2.3413793669463,2.353034768403415
Zachodniopomorskie,-2.429376020900913,2.1851996169279237,2.5946292410727843
Łódzkie,-3.9422855684078453,2.925978617650996,3.208177420914211
Śląskie,-0.6795553182085083,3.6351629228012046,5.362864614348861
Świętokrzyskie,0.15752528778979802,1.220621513796047,1.4888280249785422
