unit,RMSE,MAE,MAPE,R2,Features
Dolnośląskie,8.140661523577833,7.955978965186237,28.832918145275332,-77.86747795835956,"['unemployment', 'population_density', 'migration_balance', 'inflation']"
Kujawsko-Pomorskie,5.956359916278461,5.768946713087282,28.109251545892377,-18.604816324671997,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
Lubelskie,4.56618099430887,4.558652261640411,28.494184718747274,-152.61951646923978,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']"
Lubuskie,10.219171152780369,10.132612139987252,40.14781752910138,-62.43139047665865,"['public_safety_exp', 'tourism_usage']"
Mazowieckie,5.311715254291305,5.259809859786888,23.729180923400943,-72.41384968251202,"['unemployment', 'tourism_usage', 'inflation']"
Małopolskie,3.621999810519248,2.8758797951353197,13.70588159700516,-4.4429127985837535,"['unemployment', 'tourism_usage']"
Opolskie,5.394174686985893,5.364334573647978,31.266924979992528,-75.68867327647722,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
Podkarpackie,1.2353737940830358,1.0808319500139087,8.990600255093387,-0.6893969501459012,"['avg_salary', 'public_safety_exp', 'migration_balance']"
Podlaskie,4.327462491905768,3.8746545092963474,24.967945093779996,-4.797946273938642,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']"
Pomorskie,2.833791937329873,2.723550687933143,12.18022982180284,-14.740628456909164,"['unemployment', 'public_safety_exp', 'tourism_usage']"
Warmińsko-Mazurskie,3.2897087301115233,3.0993737459412376,16.27795359812578,-11.175489147743697,"['population_density', 'avg_salary', 'migration_balance']"
Wielkopolskie,5.466453719596289,5.454814377224613,29.109485565628678,-251.44936918306576,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']"
Zachodniopomorskie,8.112052788324398,8.007027811903214,36.911582834979065,-32.52169934983764,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']"
Łódzkie,1.2253157710427853,1.1143161192405309,5.540285836003972,0.2790467126568854,"['unemployment', 'public_safety_exp', 'tourism_usage']"
Śląskie,5.754844743237368,5.4334042994207,20.49825817106769,-0.9340507631397892,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']"
Świętokrzyskie,5.499200982243576,5.364561964001077,30.940457958431157,-10.49388872605807,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']"
