unit,year,actual_crime,predicted_crime,used_features,Model
Dolnośląskie,2021,28.190000534057617,29.890609741210938,"['unemployment', 'population_density', 'migration_balance', 'inflation']",LSTM_exo_only
Dolnośląskie,2022,29.030000686645508,31.279945373535156,"['unemployment', 'population_density', 'migration_balance', 'inflation']",LSTM_exo_only
Dolnośląskie,2023,27.510000228881836,36.08758544921875,"['unemployment', 'population_density', 'migration_balance', 'inflation']",LSTM_exo_only
Dolnośląskie,2024,26.530000686645508,39.28520202636719,"['unemployment', 'population_density', 'migration_balance', 'inflation']",LSTM_exo_only
Kujawsko-Pomorskie,2021,20.200000762939453,24.55802345275879,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Kujawsko-Pomorskie,2022,22.530000686645508,25.339860916137695,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Kujawsko-Pomorskie,2023,21.6299991607666,26.822099685668945,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Kujawsko-Pomorskie,2024,19.010000228881836,26.997116088867188,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Lubelskie,2021,16.260000228881836,14.532550811767578,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']",LSTM_exo_only
Lubelskie,2022,15.789999961853027,14.134387016296387,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']",LSTM_exo_only
Lubelskie,2023,16.489999771118164,15.945490837097168,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']",LSTM_exo_only
Lubelskie,2024,15.5600004196167,16.0460205078125,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']",LSTM_exo_only
Lubuskie,2021,27.520000457763672,18.5914306640625,"['public_safety_exp', 'tourism_usage']",LSTM_exo_only
Lubuskie,2022,25.09000015258789,14.281538963317871,"['public_safety_exp', 'tourism_usage']",LSTM_exo_only
Lubuskie,2023,25.25,19.06041145324707,"['public_safety_exp', 'tourism_usage']",LSTM_exo_only
Lubuskie,2024,23.989999771118164,20.91398048400879,"['public_safety_exp', 'tourism_usage']",LSTM_exo_only
Mazowieckie,2021,21.940000534057617,23.88405990600586,"['unemployment', 'tourism_usage', 'inflation']",LSTM_exo_only
Mazowieckie,2022,23.299999237060547,25.096662521362305,"['unemployment', 'tourism_usage', 'inflation']",LSTM_exo_only
Mazowieckie,2023,22.1299991607666,26.410337448120117,"['unemployment', 'tourism_usage', 'inflation']",LSTM_exo_only
