unit,R2,MAE,RMSE,MAPE,Model,train_end,test_years
Dolnośląskie,-13.667548303802326,3.063353643326951,3.510665770331533,10.917987728162347,MLP_exo_only,2020,2021-2024
Kujawsko-Pomorskie,-39.166245271218976,7.971466050095877,8.525702250967965,37.68703736366979,MLP_exo_only,2020,2021-2024
Lubelskie,-577.5826656901352,7.439686617984288,8.861610028702092,46.99367430635069,MLP_exo_only,2020,2021-2024
Lubuskie,-135.13386681388184,13.94841580317824,14.970856493168228,55.325875118537624,MLP_exo_only,2020,2021-2024
Mazowieckie,-43.67210446486137,3.846381004568027,4.14346803388236,17.161366881744005,MLP_exo_only,2020,2021-2024
Małopolskie,-39.432802012848384,8.736050075746922,9.871875159588757,38.781561909832966,MLP_exo_only,2020,2021-2024
Opolskie,-284.58133146715653,8.626297796401118,10.40936654213906,51.25043216485554,MLP_exo_only,2020,2021-2024
Podkarpackie,-3.1737886274675757,1.2976958026435912,1.9417698666833818,10.7331107848839,MLP_exo_only,2020,2021-2024
Podlaskie,-2.5258928714376285,2.7812442240305804,3.3746658401652434,15.981890300276394,MLP_exo_only,2020,2021-2024
Pomorskie,-109.3334088168064,4.293486957365423,7.502576707992343,19.079967791012905,MLP_exo_only,2020,2021-2024
Warmińsko-Mazurskie,-18.434561963911655,3.616249900354947,4.156249559593704,18.777119974300533,MLP_exo_only,2020,2021-2024
Wielkopolskie,-102.47388354792427,3.344352790793253,3.499724882503394,17.905372433238995,MLP_exo_only,2020,2021-2024
Zachodniopomorskie,0.5575878860515426,0.7787029476119409,0.9319256384034384,3.6161175517958783,MLP_exo_only,2020,2021-2024
Łódzkie,-18.52690625847861,5.715694145655024,6.376923114855165,27.956686827441047,MLP_exo_only,2020,2021-2024
Śląskie,-0.7041580678276687,3.385067485668702,5.402000431962942,13.651799124141226,MLP_exo_only,2020,2021-2024
Świętokrzyskie,-32.863500024245525,9.103078184661088,9.439131140068808,51.485013932543076,MLP_exo_only,2020,2021-2024
