unit,RMSE,MAE,MAPE,R2,Features
Dolnośląskie,7.340642731689104,7.018552837371825,25.39984448458249,-63.127857801672164,"['unemployment', 'population_density', 'migration_balance', 'inflation']"
Kujawsko-Pomorskie,5.918142191292075,5.767222137451172,28.111448794790018,-18.35404310670192,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
Lubelskie,10.24644353633273,8.974046354293824,55.97054470550336,-772.5465473807694,"['unemployment', 'population_density', 'public_safety_exp', 'education_exp', 'inflation']"
Lubuskie,1.823464573246854,1.6652027130126958,6.5305510965806475,-1.0196101571329805,"['public_safety_exp', 'tourism_usage']"
Mazowieckie,3.6149466221975373,3.57653169631958,16.099335643344624,-33.00260612144834,"['unemployment', 'tourism_usage', 'inflation']"
Małopolskie,2.5201658220473653,1.8919112205505373,8.559313034486438,-1.6350736906893362,"['unemployment', 'tourism_usage']"
Opolskie,2.7346977218370387,2.6667477416992194,15.379952835514421,-18.710601096600257,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']"
Podkarpackie,2.486931803346615,2.3239055633544923,18.826137592180054,-5.846406624644528,"['avg_salary', 'public_safety_exp', 'migration_balance']"
Podlaskie,6.460122700129372,5.324401531219483,30.81247611693104,-11.92079082354135,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']"
Pomorskie,11.082808918765798,9.73840138912201,43.764282615832485,-239.76083360628112,"['unemployment', 'public_safety_exp', 'tourism_usage']"
Warmińsko-Mazurskie,8.597919228051133,6.668573889732361,33.37799819369322,-82.16838055025198,"['population_density', 'avg_salary', 'migration_balance']"
Wielkopolskie,12.200673542940619,11.01728240966797,58.813549156363855,-1256.565319405762,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']"
Zachodniopomorskie,7.46462372566706,5.839897785186767,27.649478847498308,-27.38444010979827,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']"
Łódzkie,12.981821089337512,12.40536294221878,61.26321644577584,-79.92492746851283,"['unemployment', 'public_safety_exp', 'tourism_usage']"
Śląskie,13.713624556365023,13.06392345428467,47.34755800495428,-9.98259975467946,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']"
Świętokrzyskie,6.0434939856048215,5.155465230941772,28.94373340117226,-12.88174275341214,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']"
