unit,R2,MAE,RMSE,MAPE,Model,train_end,test_years
Dolnośląskie,-5.089603664994564,1.987381935119629,2.2620658634282647,7.1228421777877,MLP_global_residual_crimeLag_exo,2020,2021-2024
Kujawsko-Pomorskie,-1.2791048396138756,1.644094467163086,2.0308678777705227,7.805430292290012,MLP_global_residual_crimeLag_exo,2020,2021-2024
Lubelskie,-14.671661201961857,1.059934377670288,1.458435581518946,6.575252878265113,MLP_global_residual_crimeLag_exo,2020,2021-2024
Lubuskie,-2.5995969044278566,2.2711644172668457,2.434392338032136,8.847500115338903,MLP_global_residual_crimeLag_exo,2020,2021-2024
Mazowieckie,-9.158070619402144,1.6346678733825684,1.9758369795308388,7.274837703895794,MLP_global_residual_crimeLag_exo,2020,2021-2024
Małopolskie,-1.2178625009945985,2.020778179168701,2.3120647160245484,8.973316299209062,MLP_global_residual_crimeLag_exo,2020,2021-2024
Opolskie,-16.05705006495712,1.7929966449737549,2.5439672174029933,10.310865522558908,MLP_global_residual_crimeLag_exo,2020,2021-2024
Podkarpackie,-0.9124171011227105,1.215250015258789,1.3143885910137503,9.946731016564774,MLP_global_residual_crimeLag_exo,2020,2021-2024
Podlaskie,-1.2068893707326223,2.27256178855896,2.669848204909716,13.172752928699444,MLP_global_residual_crimeLag_exo,2020,2021-2024
Pomorskie,-7.152657964505876,1.9318604469299316,2.0394200704551912,8.671818816641714,MLP_global_residual_crimeLag_exo,2020,2021-2024
Warmińsko-Mazurskie,-7.011523609210734,1.9573359489440918,2.668528565861322,9.68863175344823,MLP_global_residual_crimeLag_exo,2020,2021-2024
Wielkopolskie,-41.10157658563931,1.753453254699707,2.232377781615469,9.27279545572599,MLP_global_residual_crimeLag_exo,2020,2021-2024
Zachodniopomorskie,-1.4936446563184953,1.6491236686706543,2.2125093200462644,7.258149099247359,MLP_global_residual_crimeLag_exo,2020,2021-2024
Łódzkie,-3.842684343027999,2.896462917327881,3.1756857385007136,13.792432333617313,MLP_global_residual_crimeLag_exo,2020,2021-2024
Śląskie,-1.1862551344130519,4.924331188201904,6.118573417016614,16.6236635723323,MLP_global_residual_crimeLag_exo,2020,2021-2024
Świętokrzyskie,-0.07334656579156329,1.6058077812194824,1.6804907105338398,9.226833490167191,MLP_global_residual_crimeLag_exo,2020,2021-2024
