unit,R2,MAE,RMSE,MAPE,Model,train_end,test_years
Dolnośląskie,-4.997683790823002,2.012598991394043,2.2449285054163677,7.155974289413397,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Kujawsko-Pomorskie,-0.9342575538446076,1.454580307006836,1.8709262549294952,6.717369421895332,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Lubelskie,-102.41570058846585,2.3062243461608887,3.746476159611684,14.572442358475652,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Lubuskie,-6.761766507695725,3.360579013824463,3.5747355938104306,13.135687996484366,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Mazowieckie,-69.36010898628456,4.043258190155029,5.200064700341686,17.897362504256296,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Małopolskie,-16.78545107625737,5.711825847625732,6.547343391904402,26.494796007588185,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Opolskie,-50.7086984089875,3.221123695373535,4.42936379469395,18.86132903163527,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Podkarpackie,-29.29650310722914,4.402113437652588,5.231530041005257,35.54483703800107,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Podlaskie,0.11781106778370587,1.178248405456543,1.6880180688902233,7.170436814656068,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Pomorskie,-6.809647935535886,1.8613271713256836,1.9960563879835471,8.265052024441973,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Warmińsko-Mazurskie,-9.877477847237307,2.592679977416992,3.1094129393993644,12.990046372621206,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Wielkopolskie,-178.9925933367369,4.24746561050415,4.615787736531231,22.67368106864455,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Zachodniopomorskie,-5.723241048202602,3.0961122512817383,3.6329311437262555,14.046892915763602,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Łódzkie,-11.796682767749695,3.9530162811279297,5.162298816104599,19.38042934412147,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Śląskie,0.14161173519436898,3.41642427444458,3.833907584937716,12.137488638006337,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
Świętokrzyskie,-5.443675218201458,3.2822413444519043,4.117493780112959,18.027409861386385,MLP_global_lag1_2_3_plus_exo,2020,2021-2024
