unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,year,unit,predicted_crime,scenario
46.0,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,28.952237698412695,unemployment_x10.0
46.0,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,28.952237698412695,unemployment_x10.0
46.0,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,28.952237698412695,unemployment_x10.0
46.0,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,28.952237698412695,unemployment_x10.0
46.0,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,28.952237698412695,unemployment_x10.0
4.6,1438.0,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.440053492063488,population_density_x10.0
4.6,1438.0,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.440053492063488,population_density_x10.0
4.6,1438.0,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.440053492063488,population_density_x10.0
4.6,1438.0,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.440053492063488,population_density_x10.0
4.6,1438.0,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.440053492063488,population_density_x10.0
4.6,143.8,88674.59999999999,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,avg_salary_x10.0
4.6,143.8,88674.59999999999,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,avg_salary_x10.0
4.6,143.8,88674.59999999999,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,avg_salary_x10.0
4.6,143.8,88674.59999999999,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.43048349206349,avg_salary_x10.0
4.6,143.8,88674.59999999999,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,avg_salary_x10.0
4.6,143.8,8867.46,2517373920.7,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,public_safety_exp_x10.0
4.6,143.8,8867.46,2517373920.7,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,public_safety_exp_x10.0
4.6,143.8,8867.46,2517373920.7,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,public_safety_exp_x10.0
4.6,143.8,8867.46,2517373920.7,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.43048349206349,public_safety_exp_x10.0
4.6,143.8,8867.46,2517373920.7,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,public_safety_exp_x10.0
4.6,143.8,8867.46,251737392.07,13565769855.699999,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,education_exp_x10.0
4.6,143.8,8867.46,251737392.07,13565769855.699999,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,education_exp_x10.0
4.6,143.8,8867.46,251737392.07,13565769855.699999,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,education_exp_x10.0
