year,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,unit_Kujawsko-Pomorskie,unit_Lubelskie,unit_Lubuskie,unit_Mazowieckie,unit_Małopolskie,unit_Opolskie,unit_Podkarpackie,unit_Podlaskie,unit_Pomorskie,unit_Warmińsko-Mazurskie,unit_Wielkopolskie,unit_Zachodniopomorskie,unit_Łódzkie,unit_Śląskie,unit_Świętokrzyskie,predicted_crime
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.13161061078881
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.79491344229129
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.534190647515686
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.56074045484436
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.87457669623974
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.13755107713273
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.288267802208445
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.662679062801697
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.06365750180849
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.51242428131644
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.02322511589732
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.99560616616813
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.180891561906492
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.31736003116353
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.56758905671261
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42177503979248
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.085077871294956
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.824355076519353
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.850904883848028
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.16474112524341
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.427715506136398
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.578432231212112
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.952843491805364
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.353821930812156
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.802588710320107
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.313389544900986
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.285770595171797
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.47105599091016
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.6075244601672
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.857753485716277
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.711939468796146
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.375242300298623
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.11451950552302
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.141069312851695
